id,type,latitude,longitude,streetName,slots
424,BIKE,41.379632,2.192662,"Passeig Marítim de la Barceloneta, devant del 5-7",17
426,BIKE,41.398305,2.183023,Carrer de Ribes,29
427,BIKE,41.375336,2.168007,Carrer de Sant Pau,3
455,BIKE-ELECTRIC,41.388966,2.19917,(PK) AV. DEL LITORAL,7
475,BIKE-ELECTRIC,41.408528,2.169385,(PK) C/ DE LA MARINA,10
476,BIKE-ELECTRIC,41.402459,2.19042,(PK) C/ DE BADAJOZ,3
480,BIKE-ELECTRIC,41.381516,2.170239,(PK) C/ DELS FLORISTES DE LA RAMBLA,3
492,BIKE-ELECTRIC,41.394232,2.175278,PL. DE TETUAN,9
493,BIKE-ELECTRIC,41.38186,2.177086,PL. SANT MIQUEL,8
495,BIKE-ELECTRIC,41.377191,2.149283,C/ DIPUTACIÓ - TARRAGONA,12
4,BIKE,41.39347,2.18149,Ribes,18
7,BIKE,41.388856,2.183251,Pg Lluís Companys,1
9,BIKE,41.384532,2.184921,Marquès de l'Argentera,22
11,BIKE,41.381689,2.193914,Passeig Marítim,3
12,BIKE,41.384538,2.195679,Pg Marítim Barceloneta,8
13,BIKE,41.386861,2.195761,Avinguda Litoral,27
14,BIKE,41.384675,2.185039,Avinguda del Marques Argentera,25
23,BIKE,41.392526,2.171812,Bruc,18
27,BIKE,41.396881,2.164415,Provença,19
31,BIKE,41.37481,2.18895,Plaça del Mar,2
32,BIKE,41.373698,2.188927,Plaça del Mar,18
33,BIKE,41.376862,2.190773,Pontevedra,4
34,BIKE,41.387074,2.175247,Sant Pere Més Alt,0
35,BIKE,41.413592,2.221153,Sant Ramon de Penyafort,22
39,BIKE,41.381046,2.186576,Pl. Pau Vila,4
42,BIKE,41.404511,2.189881,Ciutat de Granada,21
43,BIKE,41.40541,2.18712,Av Meridiana,4
46,BIKE,41.388359,2.193004,Ramon trias Fargas,9
47,BIKE,41.389076,2.192104,Ramon Trias Fargas,21
49,BIKE,41.39106,2.196457,Rosa Sensat en front,5
53,BIKE,41.385227,2.173878,Pl. Carles Pi i Sunyer,10
